headline,display_url,description1,description2
"Toasty Paws","www.bigpaws.com/Shoes","Your Dog Will Walk on Clouds.","Your Dog Will Smile For Days!"
"Quality And Comfort","www.bigpaws.com/","Give The Comfort Your Dog","Deserves At An Affordable Price."
